"","subj_no","age","group","stim","trial","difficulty","resp","corr","conf","RT_day1","RT_day2"
"1",22,26,2,1,1,1,2,0,3,0.521579072106468,0.548737662657049
"2",22,18,2,1,2,2,1,1,3,0.659922338778205,0.58723678818924
"3",22,34,2,1,3,2,1,1,3,0.554952707701922,0.574333637977259
"4",22,36,2,2,4,2,1,0,3,0.487137418436771,0.45156203991491
"5",22,21,2,1,5,1,1,1,4,0.322791770555136,0.329367204617499
"6",22,21,2,1,6,3,2,0,1,1.21449249921256,1.27362876976397
"7",22,36,2,1,7,1,1,1,5,0.418145905024783,0.48211116722688
"8",22,36,2,1,8,1,2,0,3,0.482024756994457,0.425739748190412
"9",22,21,2,2,9,3,1,0,1,1.56515706771406,1.5973388344422
"10",22,33,2,2,10,3,1,0,1,0.768313452134556,0.790881001786826
"11",22,26,2,2,11,1,2,1,5,0.477226450141071,0.486015985000081
"12",22,18,2,2,12,3,1,0,1,0.46454014826227,0.367545342435683
"13",22,34,2,2,13,3,2,1,3,0.749336444725971,0.74871845895813
"14",22,36,2,2,14,1,2,1,4,0.335601485025997,0.340187430943968
"15",22,21,2,1,15,3,1,1,2,1.03423175280342,1.04597225067644
"16",22,21,2,2,16,3,1,0,1,1.4605253080084,1.4470397221706
"17",22,36,2,1,17,1,2,0,4,0.681733678446311,0.735043788532811
"18",22,36,2,2,18,3,1,0,1,0.690806794355714,0.607091949506045
"19",22,21,2,1,19,1,1,1,4,0.358632966930826,0.396514553769803
"20",22,33,2,2,20,3,1,0,2,1.19803111371964,1.18281475527172
"21",22,26,2,2,21,2,2,1,3,0.613387014793258,0.70294055211605
"22",22,18,2,2,22,1,2,1,5,0.501536404579873,0.485966240350939
"23",22,34,2,2,23,3,2,1,2,1.15474973947905,1.1227123916331
"24",22,36,2,1,24,1,2,0,3,0.585774430748851,0.522752934019312
"25",22,21,2,1,25,1,1,1,5,0.464601322481824,0.407191774124402
"26",22,21,2,2,26,1,2,1,5,0.236755215837792,0.206871481690896
"27",22,36,2,1,27,1,1,1,4,0.494935676689464,0.468138591812963
"28",22,36,2,2,28,2,1,0,3,0.512069017240057,0.52428066965853
"29",22,21,2,2,29,3,1,0,2,1.4651723767908,1.51367297364618
"30",22,33,2,1,30,1,1,1,4,0.449457700941779,0.409760043519953
"31",22,26,2,2,31,2,1,0,2,0.516411290039994,0.430918472932488
"32",22,18,2,1,32,3,2,0,1,1.09074059581169,1.01931813496568
"33",22,34,2,1,33,1,1,1,4,0.574656236226705,0.64677832792532
"34",22,36,2,2,34,3,1,0,1,0.690686887457539,0.751448876754579
"35",22,21,2,1,35,1,2,0,3,0.576374910840897,0.497673027170808
"36",22,21,2,2,36,2,1,0,3,0.830965709644895,0.844532608339806
"37",22,36,2,2,37,1,2,1,5,0.333870828633095,0.298691438696754
"38",22,36,2,1,38,3,1,1,3,0.941269501375545,0.912208195987178
"39",22,21,2,1,39,2,1,1,3,0.676078123866607,0.726428656526037
"40",22,33,2,1,40,1,1,1,5,0.217361914439674,0.219758966777302
"41",22,26,2,1,41,3,1,1,2,0.941125690058851,0.970423840951081
"42",22,18,2,2,42,1,1,0,3,0.49643148432423,0.402704452841351
"43",22,34,2,1,43,3,1,1,3,0.787344490841055,0.872611519805175
"44",22,36,2,1,44,1,1,1,4,0.469440330581479,0.434679314928697
"45",22,21,2,2,45,2,2,1,3,0.358452956259951,0.411371002370293
